id,name,plan_type,hsa_eligible,individual_medical_deductible,family_medical_deductible,plan_coinsurance,premium,child_eyewear,child_eye_exam,child_dental,level,plan_levels
70893GA0060014,Standard Gold SELECT Wellstar,HMO,False,1500,3000,25,1559.9,0,0,0,gold,5.0
70893GA0060013,Standard Silver SELECT Wellstar,HMO,False,5000,10000,40,1495.88,0,0,0,silver,1.0
70893GA0010077,Standard Silver,HMO,False,5000,10000,40,1628.46,0,0,0,silver,1.0
70893GA0010074,Elite Gold,HMO,False,0,0,30,1899.63,0,0,0,gold,5.0
70893GA0010071,Everyday Gold,HMO,False,750,1500,35,1691.63,0,0,0,gold,5.0
70893GA0010078,Standard Gold,HMO,False,1500,3000,25,1698.15,0,0,0,gold,5.0
70893GA0030017,Complete Silver + Vision + Adult Dental,HMO,False,6000,12000,40,1694.06,0,0,0,silver,1.0
70893GA0030070,Focused Silver + Vision + Adult Dental,HMO,False,6300,12600,50,1689.72,0,0,0,silver,1.0
70893GA0030020,Complete Gold + Vision + Adult Dental,HMO,False,1450,2900,20,1791.81,0,0,0,gold,5.0
70893GA0030074,Clear Gold + Vision + Adult Dental,HMO,False,900,1800,30,1712.76,0,0,0,gold,5.0
70893GA0030071,Everyday Gold + Vision + Adult Dental,HMO,False,750,1500,35,1739.96,0,0,0,gold,5.0
70893GA0030077,Standard Silver + Vision + Adult Dental,HMO,False,5000,10000,40,1674.99,0,0,0,silver,1.0
70893GA0030078,Standard Gold + Vision + Adult Dental,HMO,False,1500,3000,25,1746.67,0,0,0,gold,5.0
70893GA0030075,Elite Gold + Vision + Adult Dental,HMO,False,0,0,30,1953.91,0,0,0,gold,5.0
70893GA0010017,Complete Silver,HMO,False,6000,12000,40,1647.0,0,0,0,silver,1.0
70893GA0010020,Complete Gold,HMO,False,1450,2900,20,1742.04,0,0,0,gold,5.0
70893GA0010068,Clear Silver with $0 Insulin Options,HMO,False,6500,13000,0,1615.66,0,0,0,silver,1.0
70893GA0010070,Focused Silver,HMO,False,6300,12600,50,1642.78,0,0,0,silver,1.0
70893GA0010073,Clear Gold,HMO,False,900,1800,30,1665.19,0,0,0,gold,5.0
15105GA0020008,Connect Silver 7000 Indiv Med Deductible,HMO,False,7000,14000,50,1864.14,0,0,0,silver,1.0
15105GA0020007,Connect Silver 5000 Indiv Med Deductible,HMO,False,5000,10000,40,1880.66,0,0,0,silver,1.0
15105GA0020006,Connect Silver 3700 Indiv Med Deductible,HMO,False,3700,7400,40,1867.18,0,0,0,silver,1.0
15105GA0020010,Connect Silver 2700 Indiv Med Deductible Enhanced Diabetes Care,HMO,False,2700,5400,40,1879.79,0,0,0,silver,1.0
15105GA0020012,Connect Gold 500 Indiv Med Deductible,HMO,False,500,1000,20,2467.34,0,0,0,gold,5.0
45495GA0040006,Ambetter Health Solutions Gold 2500,EPO,False,2500,5000,20,1797.53,0,0,0,gold,
45495GA0040005,Ambetter Health Solutions Gold 1500,EPO,False,1500,3000,20,1832.89,0,0,0,gold,
45495GA0040011,Ambetter Health Solutions Silver 4500,EPO,False,4500,9000,30,1450.27,0,0,0,silver,
45495GA0040007,Ambetter Health Solutions Gold 3000,EPO,False,3000,6000,20,1714.2,0,0,0,gold,
45495GA0040008,Ambetter Health Solutions Gold 3500,EPO,False,3500,7000,20,1778.22,0,0,0,gold,
45495GA0040010,Ambetter Health Solutions Silver 3500,EPO,False,3500,7000,30,1484.73,0,0,0,silver,
45495GA0040009,Ambetter Health Solutions Silver 1350,EPO,False,1350,2700,50,1561.79,0,0,0,silver,
45495GA0040012,Ambetter Health Solutions Silver 5500,EPO,False,5500,11000,50,1489.64,0,0,0,silver,
45495GA0040014,Ambetter Health Solutions Silver HSA 4000,EPO,True,4000,8000,20,1469.87,0,0,0,silver,
